Measure,Value,Relationship,First Update,Last Update,Treatment,Seed
Mean Source Stockpile,1.4496611383085714,Nondirect Cell Relative,262144,263168,resource-even__channelsense-yes__nlev-onebig,1002
Resource Transfer Ratio,7.76025519056304e-06,Nondirect Cell Relative,262144,263168,resource-even__channelsense-yes__nlev-onebig,1002
Relationship Frequency,0.5520798972204378,Nondirect Cell Relative,262144,263168,resource-even__channelsense-yes__nlev-onebig,1002
Total Resource Shared,24.16201417724746,Cell Child,262144,263168,resource-even__channelsense-yes__nlev-onebig,1002
Relationship Incidence,3302368.0,Cell Child,262144,263168,resource-even__channelsense-yes__nlev-onebig,1002
Total Source Stockpile,8201358.384332942,Cell Child,262144,263168,resource-even__channelsense-yes__nlev-onebig,1002
Resource Transfer Rate,7.3165722830549046e-06,Cell Child,262144,263168,resource-even__channelsense-yes__nlev-onebig,1002
Mean Source Stockpile,2.4834780328336943,Cell Child,262144,263168,resource-even__channelsense-yes__nlev-onebig,1002
Resource Transfer Ratio,2.946090374483163e-06,Cell Child,262144,263168,resource-even__channelsense-yes__nlev-onebig,1002
Relationship Frequency,0.22396005138978106,Cell Child,262144,263168,resource-even__channelsense-yes__nlev-onebig,1002
Total Resource Shared,84.74087641357094,Nonchannelmate,262144,263168,resource-even__channelsense-yes__nlev-onebig,1002
Relationship Incidence,4502480.0,Nonchannelmate,262144,263168,resource-even__channelsense-yes__nlev-onebig,1002
Total Source Stockpile,2132561.544013063,Nonchannelmate,262144,263168,resource-even__channelsense-yes__nlev-onebig,1002
Resource Transfer Rate,1.8820933444139884e-05,Nonchannelmate,262144,263168,resource-even__channelsense-yes__nlev-onebig,1002
Mean Source Stockpile,0.47364153622294003,Nonchannelmate,262144,263168,resource-even__channelsense-yes__nlev-onebig,1002
Resource Transfer Ratio,3.973508265950563e-05,Nonchannelmate,262144,263168,resource-even__channelsense-yes__nlev-onebig,1002
Relationship Frequency,0.3053492682164621,Nonchannelmate,262144,263168,resource-even__channelsense-yes__nlev-onebig,1002
