Measure,Value,Relationship,First Update,Last Update,Treatment,Seed
Relationship Incidence,4223904.0,Nuclear Channelmate 0,262144,263168,resource-even__channelsense-yes__nlev-onebig,1003
Total Source Stockpile,6783420.55833809,Nuclear Channelmate 0,262144,263168,resource-even__channelsense-yes__nlev-onebig,1003
Resource Transfer Rate,2.8875353975091177e-07,Nuclear Channelmate 0,262144,263168,resource-even__channelsense-yes__nlev-onebig,1003
Mean Source Stockpile,1.6059599267261022,Nuclear Channelmate 0,262144,263168,resource-even__channelsense-yes__nlev-onebig,1003
Resource Transfer Ratio,1.798011787388342e-07,Nuclear Channelmate 0,262144,263168,resource-even__channelsense-yes__nlev-onebig,1003
Relationship Frequency,0.28645182291666665,Nuclear Channelmate 0,262144,263168,resource-even__channelsense-yes__nlev-onebig,1003
Total Resource Shared,11.544387400609017,Unrelated Neighbor,262144,263168,resource-even__channelsense-yes__nlev-onebig,1003
Relationship Incidence,4525936.0,Unrelated Neighbor,262144,263168,resource-even__channelsense-yes__nlev-onebig,1003
Total Source Stockpile,2186745.9437003494,Unrelated Neighbor,262144,263168,resource-even__channelsense-yes__nlev-onebig,1003
Resource Transfer Rate,2.550718216211855e-06,Unrelated Neighbor,262144,263168,resource-even__channelsense-yes__nlev-onebig,1003
Mean Source Stockpile,0.4831588302840229,Unrelated Neighbor,262144,263168,resource-even__channelsense-yes__nlev-onebig,1003
Resource Transfer Ratio,5.279226189230621e-06,Unrelated Neighbor,262144,263168,resource-even__channelsense-yes__nlev-onebig,1003
Relationship Frequency,0.3069346788194444,Unrelated Neighbor,262144,263168,resource-even__channelsense-yes__nlev-onebig,1003
Total Resource Shared,0.1390952593615864,Non-nuclear Channelmate 0,262144,263168,resource-even__channelsense-yes__nlev-onebig,1003
Relationship Incidence,5353760.0,Non-nuclear Channelmate 0,262144,263168,resource-even__channelsense-yes__nlev-onebig,1003
Total Source Stockpile,7379788.3092553355,Non-nuclear Channelmate 0,262144,263168,resource-even__channelsense-yes__nlev-onebig,1003
Resource Transfer Rate,2.5980854457724365e-08,Non-nuclear Channelmate 0,262144,263168,resource-even__channelsense-yes__nlev-onebig,1003
Mean Source Stockpile,1.3784309175710783,Non-nuclear Channelmate 0,262144,263168,resource-even__channelsense-yes__nlev-onebig,1003
Resource Transfer Ratio,1.8848136411372957e-08,Non-nuclear Channelmate 0,262144,263168,resource-even__channelsense-yes__nlev-onebig,1003
Relationship Frequency,0.36307508680555556,Non-nuclear Channelmate 0,262144,263168,resource-even__channelsense-yes__nlev-onebig,1003
Total Resource Shared,0.0,Child Channelmate 0,262144,263168,resource-even__channelsense-yes__nlev-onebig,1003
Relationship Incidence,2111952.0,Child Channelmate 0,262144,263168,resource-even__channelsense-yes__nlev-onebig,1003
Total Source Stockpile,4093623.7563504786,Child Channelmate 0,262144,263168,resource-even__channelsense-yes__nlev-onebig,1003
Resource Transfer Rate,0.0,Child Channelmate 0,262144,263168,resource-even__channelsense-yes__nlev-onebig,1003
Mean Source Stockpile,1.9383128765949598,Child Channelmate 0,262144,263168,resource-even__channelsense-yes__nlev-onebig,1003
Resource Transfer Ratio,0.0,Child Channelmate 0,262144,263168,resource-even__channelsense-yes__nlev-onebig,1003
Relationship Frequency,0.14322591145833333,Child Channelmate 0,262144,263168,resource-even__channelsense-yes__nlev-onebig,1003
Total Resource Shared,37424.2061758961,Neighbor,262144,263168,resource-even__channelsense-yes__nlev-onebig,1004
Relationship Incidence,14745600.0,Neighbor,262144,263168,resource-even__channelsense-yes__nlev-onebig,1004
Total Source Stockpile,11766798.155563831,Neighbor,262144,263168,resource-even__channelsense-yes__nlev-onebig,1004
Resource Transfer Rate,0.0025379914127533704,Neighbor,262144,263168,resource-even__channelsense-yes__nlev-onebig,1004
